time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-12-03T14:54:25.208Z,-23.6995,-67.1338,163.733,4.7,mww,113,43,1.215,0.74,us,us7000nvmq,2024-12-05T17:06:21.040Z,"100 km NW of San Antonio de los Cobres, Argentina",earthquake,9.08,6.351,0.071,19,reviewed,us,us
2024-12-03T12:41:04.636Z,25.7238,142.6558,10,4.6,mb,41,123,1.43,0.91,us,us7000nvm9,2024-12-03T13:28:43.040Z,"Volcano Islands, Japan region",earthquake,11.47,1.568,0.087,39,reviewed,us,us
2024-12-03T11:45:41.023Z,-6.9612,153.7972,39.872,4.8,mb,52,46,3.196,0.68,us,us7000nvm2,2024-12-03T12:10:35.040Z,"199 km WSW of Panguna, Papua New Guinea",earthquake,9.79,2.812,0.089,39,reviewed,us,us
2024-12-03T09:32:17.420Z,19.5463,-65.2615,106,4.65,md,26,244,1.2299,0.51,pr,pr2024338004,2024-12-03T19:48:36.040Z,"137 km N of Culebra, Puerto Rico",earthquake,5.18,7.9,0.14,19,reviewed,pr,pr
2024-12-03T08:06:03.962Z,-21.183,-178.8044,574.746,5.4,mww,77,42,4.526,0.84,us,us7000nvkt,2024-12-04T08:08:32.103Z,"Fiji region",earthquake,10.01,4.144,0.089,12,reviewed,us,us
2024-12-03T07:29:29.514Z,-41.2909,85.6983,10,5.1,mb,45,64,7.185,1.26,us,us7000nvkm,2024-12-03T07:47:40.040Z,"southeast Indian Ridge",earthquake,10.64,1.887,0.087,43,reviewed,us,us
2024-12-03T04:31:49.184Z,-24.6177,179.877,508.301,4.6,mb,54,77,5.007,0.88,us,us7000nvk3,2024-12-03T04:47:27.040Z,"south of the Fiji Islands",earthquake,12.67,8.334,0.064,73,reviewed,us,us
2024-12-03T03:55:00.018Z,-52.8431,19.4932,10,4.9,mb,26,59,20.473,0.95,us,us7000nvjy,2024-12-03T04:17:06.040Z,"southwest of Africa",earthquake,12.05,1.863,0.119,22,reviewed,us,us
2024-12-02T19:15:58.267Z,-24.5302,-176.0604,35,4.8,mb,32,121,4.997,0.51,us,us7000nvi0,2024-12-02T19:38:33.040Z,"south of the Fiji Islands",earthquake,14.45,1.926,0.081,47,reviewed,us,us
2024-12-02T16:06:16.509Z,-23.6207,-179.6488,533.263,4.6,mb,40,107,5.809,0.65,us,us7000nvft,2024-12-02T20:23:13.040Z,"south of the Fiji Islands",earthquake,13.9,10.034,0.098,31,reviewed,us,us
2024-12-02T16:06:10.892Z,-9.6447,110.2067,10,4.5,mb,34,116,2.589,1.11,us,us7000nvfs,2024-12-02T20:12:48.040Z,"187 km S of Bambanglipuro, Indonesia",earthquake,3.68,1.899,0.121,20,reviewed,us,us
2024-12-02T15:11:52.852Z,-48.7653,106.2816,10,5,mb,38,97,21.049,0.48,us,us7000nvg1,2024-12-02T20:02:42.040Z,"southeast Indian Ridge",earthquake,14.39,1.841,0.113,25,reviewed,us,us
2024-12-02T12:40:02.783Z,-7.9968,106.983,29.872,4.6,mb,31,91,0.848,1.11,us,us7000nvfb,2024-12-02T13:54:31.040Z,"101 km SSW of Banjar, Indonesia",earthquake,6.6,5.805,0.11,25,reviewed,us,us
2024-12-02T12:19:09.383Z,-2.7278,129.3991,10,4.7,mb,43,62,1.852,1.67,us,us7000nvf3,2024-12-02T13:05:35.040Z,"79 km NE of Masohi, Indonesia",earthquake,6.7,1.891,0.095,34,reviewed,us,us
2024-12-02T07:05:30.025Z,0.7155,126.1945,57.365,4.5,mb,34,66,1.173,0.5,us,us7000nvei,2024-12-02T14:43:37.040Z,"132 km W of Ternate, Indonesia",earthquake,9.15,8.592,0.103,28,reviewed,us,us
2024-12-02T01:18:44.020Z,32.4522,142.4001,10,4.8,mww,63,103,2.277,1.3,us,us7000nvcs,2024-12-02T01:32:55.040Z,"Izu Islands, Japan region",earthquake,5.48,1.84,0.075,17,reviewed,us,us
2024-12-02T01:01:11.971Z,13.121,146.8706,10,5,mb,51,119,2.004,0.89,us,us7000nvcm,2024-12-06T01:11:20.164Z,"219 km ESE of Yigo Village, Guam",earthquake,6.22,1.906,0.097,34,reviewed,us,us
2024-12-01T22:59:02.217Z,53.8308,160.5584,63.688,4.7,mb,73,115,1.399,0.5,us,us7000nvc5,2024-12-03T04:03:12.040Z,"154 km ENE of Petropavlovsk-Kamchatsky, Russia",earthquake,10.17,6.78,0.043,163,reviewed,us,us
2024-12-01T22:26:37.736Z,53.4431,-163.5267,25.295,4.6,mww,88,166,1.211,0.68,us,us7000nvc0,2024-12-03T19:53:27.040Z,"157 km S of False Pass, Alaska",earthquake,5.71,5.762,0.103,9,reviewed,us,us
2024-12-01T17:56:37.305Z,-59.0563,-25.6052,52.374,4.9,mb,48,81,7.665,0.68,us,us7000nvaq,2024-12-01T18:44:30.040Z,"South Sandwich Islands region",earthquake,11.22,7.132,0.082,47,reviewed,us,us
2024-12-01T14:33:37.656Z,17.661,119.5824,14.383,4.5,mb,35,117,5.696,0.73,us,us7000nva5,2024-12-01T15:01:38.040Z,"82 km W of Puro Pinget, Philippines",earthquake,8.8,4.045,0.098,31,reviewed,us,us
2024-12-01T11:13:34.019Z,-5.2074,150.6547,242.629,4.5,mb,21,102,1.811,0.54,us,us7000nv9i,2024-12-01T11:29:04.040Z,"68 km ENE of Kimbe, Papua New Guinea",earthquake,12,12.43,0.128,18,reviewed,us,us
2024-12-01T07:57:45.387Z,18.4653,95.2239,84.854,4.6,mb,46,166,2.741,0.57,us,us7000nv8y,2024-12-01T08:17:53.040Z,"22 km NNW of Myanaung, Myanmar",earthquake,9.12,8.255,0.073,57,reviewed,us,us
2024-12-01T06:12:22.873Z,-35.5199,78.3731,10,5,mb,50,58,33.334,0.59,us,us7000nv8n,2024-12-01T06:32:52.040Z,"Mid-Indian Ridge",earthquake,10.64,1.874,0.073,59,reviewed,us,us
2024-12-01T00:01:58.383Z,-28.7711,-176.4442,10,4.9,mb,50,69,1.382,0.92,us,us7000nv77,2024-12-01T00:22:22.040Z,"Kermadec Islands region",earthquake,10.82,1.883,0.086,42,reviewed,us,us
2024-11-30T22:12:26.508Z,-22.7218,-12.8275,10,4.8,mb,37,96,26.803,0.79,us,us7000nv6w,2024-11-30T22:32:13.040Z,"southern Mid-Atlantic Ridge",earthquake,12.71,1.9,0.094,35,reviewed,us,us
2024-11-30T21:36:05.377Z,13.0438,143.8836,130.032,4.7,mb,92,39,1.101,0.71,us,us7000nv6t,2024-12-01T23:34:38.420Z,"88 km WSW of Merizo Village, Guam",earthquake,9.18,5.928,0.044,161,reviewed,us,us
2024-11-30T21:11:28.323Z,-3.0693,128.7931,37.567,4.5,mb,26,87,1.82,0.69,us,us7000nv6q,2024-11-30T22:39:57.040Z,"31 km NW of Masohi, Indonesia",earthquake,9.32,7.216,0.131,17,reviewed,us,us
2024-11-30T18:34:56.546Z,-18.3012,-69.6103,111.387,4.8,mb,76,70,0.698,1.04,us,us7000nv60,2024-11-30T19:13:13.040Z,"69 km SSE of Palca, Peru",earthquake,6.91,6.16,0.039,204,reviewed,us,us
